## Copyright (c) Qualcomm Technologies, Inc. and/or its subsidiaries.
## SPDX-License-Identifier: BSD-3-Clause-Clear
35,1,253681304427528,0.078936,-9.76355,-1.91599,0,0,0
35,1,253681313527723,0.072956,-9.76295,-1.91121,0,0,0
35,1,253681322627838,0.072956,-9.75996,-1.90642,0,0,0
35,1,253681331727878,0.078338,-9.75278,-1.90642,0,0,0
35,1,253681340827847,0.072956,-9.76534,-1.90941,0,0,0
35,1,253681349927750,0.079534,-9.76713,-1.90702,0,0,0
35,1,253681359027591,0.079534,-9.76594,-1.90762,0,0,0
35,1,253681368127374,0.07774,-9.77311,-1.89805,0,0,0
35,1,253681377227102,0.078936,-9.77132,-1.90642,0,0,0
35,1,253681386326779,0.08372,-9.77072,-1.91659,0,0,0
35,1,253681395429410,0.079534,-9.76474,-1.90463,0,0,0
35,0,253681395429410,0.079534,-9.76474,-1.90463,0,0,0
16,1,253681395429410,-0.001596,-0.010184,-0.000988,0,0,0
35,1,253681404540814,0.071162,-9.75577,-1.91898,0,0,0
35,0,253681404540814,0.071162,-9.75577,-1.91898,0,0,0
16,1,253681404540814,0.000608,-0.010792,-0.0019,0,0,0
16,0,253681404540814,0.000608,-0.010792,-0.0019,0,0,0
35,1,253681413660442,0.08073,-9.75936,-1.89805,0,0,0
16,1,253681413660442,-7.60E-05,-0.010488,-0.000684,0,0,0
35,0,253681413660442,0.08073,-9.75936,-1.89805,0,0,0
35,1,253681422787780,0.075348,-9.76295,-1.89805,0,0,0
16,1,253681422787780,-0.0019,-0.01026,-0.001596,0,0,0
16,0,253681422787780,-0.0019,-0.01026,-0.001596,0,0,0
35,1,253681431922346,0.081328,-9.76713,-1.9124,0,0,0
16,1,253681431922346,-0.00152,-0.010412,-0.002508,0,0,0
35,0,253681431922346,0.081328,-9.76713,-1.9124,0,0,0
16,0,253681431922346,-0.00152,-0.010412,-0.002508,0,0,0
35,1,253681441063688,0.079534,-9.76414,-1.90164,0,0,0
16,1,253681441063688,-0.00114,-0.009576,-0.001596,0,0,0
35,0,253681441063688,0.079534,-9.76414,-1.90164,0,0,0
16,0,253681441063688,-0.00114,-0.009576,-0.001596,0,0,0
35,1,253681450211383,0.084318,-9.77132,-1.91121,0,0,0
16,1,253681450211383,-0.00076,-0.008968,-0.000684,0,0,0
35,0,253681450211383,0.084318,-9.77132,-1.91121,0,0,0
16,0,253681450211383,-0.00076,-0.008968,-0.000684,0,0,0
35,1,253681459365034,0.081926,-9.76295,-1.90164,0,0,0
35,0,253681459365034,0.081926,-9.76295,-1.90164,0,0,0
16,1,253681459365034,0.000304,-0.009348,-0.001292,0,0,0
16,0,253681459365034,0.000304,-0.009348,-0.001292,0,0,0
35,1,253681468524269,0.087906,-9.76355,-1.89865,0,0,0
35,0,253681468524269,0.087906,-9.76355,-1.89865,0,0,0
16,0,253681468524269,0.000836,-0.010792,-0.001444,0,0,0
35,1,253681477688738,0.078936,-9.77072,-1.90583,0,0,0
35,0,253681477688738,0.078936,-9.77072,-1.90583,0,0,0
16,1,253681477688738,-0.000988,-0.010108,-0.00152,0,0,0
16,0,253681477688738,-0.000988,-0.010108,-0.00152,0,0,0
35,1,253681486855735,0.085514,-9.76953,-1.89387,0,0,0
35,0,253681486855735,0.085514,-9.76953,-1.89387,0,0,0
16,1,253681486855735,-0.000988,-0.010716,-0.002052,0,0,0
16,0,253681486855735,-0.000988,-0.010716,-0.002052,0,0,0
35,1,253681496020341,0.081926,-9.76654,-1.89506,0,0,0
35,0,253681496020341,0.081926,-9.76654,-1.89506,0,0,0
16,1,253681496020341,-0.00114,-0.009196,-0.000912,0,0,0
16,0,253681496020341,-0.00114,-0.009196,-0.000912,0,0,0
35,1,253681505182706,0.07475,-9.76355,-1.90642,0,0,0
35,0,253681505182706,0.07475,-9.76355,-1.90642,0,0,0
16,1,253681505182706,-0.000912,-0.010108,-0.0019,0,0,0
